time;since1970;cpuT;netIo
1;1649756859.719079;30.5;snetio(bytes_sent=9010994, bytes_recv=195955831, packets_sent=40511, packets_recv=157368, errin=0, errout=0, dropin=0, dropout=0)
2;1649756860.7269304;9.9;snetio(bytes_sent=9011202, bytes_recv=195956039, packets_sent=40515, packets_recv=157372, errin=0, errout=0, dropin=0, dropout=0)
3;1649756861.7302203;7.4;snetio(bytes_sent=9011410, bytes_recv=195956247, packets_sent=40519, packets_recv=157376, errin=0, errout=0, dropin=0, dropout=0)
4;1649756862.7321787;3.0;snetio(bytes_sent=9011410, bytes_recv=195956247, packets_sent=40519, packets_recv=157376, errin=0, errout=0, dropin=0, dropout=0)
5;1649756863.7392578;7.3;snetio(bytes_sent=9011618, bytes_recv=195956455, packets_sent=40523, packets_recv=157380, errin=0, errout=0, dropin=0, dropout=0)
6;1649756864.7451847;10.9;snetio(bytes_sent=9011826, bytes_recv=195956663, packets_sent=40527, packets_recv=157384, errin=0, errout=0, dropin=0, dropout=0)
7;1649756865.748949;8.8;snetio(bytes_sent=9011826, bytes_recv=195956663, packets_sent=40527, packets_recv=157384, errin=0, errout=0, dropin=0, dropout=0)
8;1649756866.7606654;2.0;snetio(bytes_sent=9012034, bytes_recv=195956871, packets_sent=40531, packets_recv=157388, errin=0, errout=0, dropin=0, dropout=0)
9;1649756867.763781;1.8;snetio(bytes_sent=9012302, bytes_recv=195957139, packets_sent=40536, packets_recv=157393, errin=0, errout=0, dropin=0, dropout=0)
10;1649756868.7667015;2.8;snetio(bytes_sent=9013829, bytes_recv=195958174, packets_sent=40545, packets_recv=157401, errin=0, errout=0, dropin=0, dropout=0)
11;1649756869.7693682;2.5;snetio(bytes_sent=9016878, bytes_recv=195963318, packets_sent=40555, packets_recv=157413, errin=0, errout=0, dropin=0, dropout=0)
12;1649756870.7723176;2.3;snetio(bytes_sent=9017086, bytes_recv=195963526, packets_sent=40559, packets_recv=157417, errin=0, errout=0, dropin=0, dropout=0)
13;1649756871.7750227;5.3;snetio(bytes_sent=9018111, bytes_recv=195965168, packets_sent=40570, packets_recv=157428, errin=0, errout=0, dropin=0, dropout=0)
14;1649756872.7783463;2.3;snetio(bytes_sent=9021392, bytes_recv=195970382, packets_sent=40585, packets_recv=157445, errin=0, errout=0, dropin=0, dropout=0)
15;1649756873.782663;10.5;snetio(bytes_sent=9021660, bytes_recv=195970650, packets_sent=40590, packets_recv=157450, errin=0, errout=0, dropin=0, dropout=0)
16;1649756874.786579;1.5;snetio(bytes_sent=9021660, bytes_recv=195970650, packets_sent=40590, packets_recv=157450, errin=0, errout=0, dropin=0, dropout=0)
17;1649756875.7904468;1.8;snetio(bytes_sent=9021868, bytes_recv=195970858, packets_sent=40594, packets_recv=157454, errin=0, errout=0, dropin=0, dropout=0)
18;1649756876.7942643;1.5;snetio(bytes_sent=9022076, bytes_recv=195971066, packets_sent=40598, packets_recv=157458, errin=0, errout=0, dropin=0, dropout=0)
19;1649756877.7989416;2.3;snetio(bytes_sent=9022136, bytes_recv=195971126, packets_sent=40599, packets_recv=157459, errin=0, errout=0, dropin=0, dropout=0)
